nb requete;questions;couts;temps;date;requete_sql
1;Donne moi le Ca des offres Illiflex du mois de juin;0;61.53940987586975;02/10/2025 11:35;
1;Donne moi le Ca des offres Illiflex du mois de juin;0;46.86418557167053;02/10/2025 11:37;
1;Quel est l'évolution YTD du ca illiflex au mois de juin;0;46.0431604385376;02/10/2025 11:39;
1;Donne moi le Ca des offres pass internationaux du mois de Mars;0;386.49693274497986;02/10/2025 11:49;
1;Donne moi le Ca des offres pass internationaux du mois de Mars;0;62.39245343208313;02/10/2025 12:06;
1;Donne moi le Ca des souscriptions pass internationaux du mois de Mars;0;53.65244698524475;02/10/2025 12:15;
1;quel est le parc actif 4G au mois de Mai;0;50.86562490463257;02/10/2025 12:17;
1;quel est est l'évolution Year To Date du parc actif 4G au mois d'Avril;0;44.03979682922363;02/10/2025 12:24;
1;quel est la pénétration du parc actif 4G au mois de Mars;0;59.72571682929993;02/10/2025 12:27;
1;quel est la pénétration du parc actif 4G au mois de Mars;0;56.26962757110596;02/10/2025 12:30;
1;quel est l'évolution Year To Date de la pénétration du parc actif 4G au mois de juin;0;49.64287614822388;02/10/2025 12:34;
1;quel est la pénétration des échangeurs Sargal au mois de Mars;0;74.60766935348511;02/10/2025 12:36;
1;Quelle est l'évolution du ca data par type de souscription ;0;64.76784896850586;02/10/2025 13:17;
1;Donne moi la répartition du Ca data par zone DRV;0;59.81054377555847;02/10/2025 13:19;
1;Donne moi la répartition du Ca recharge par zone DRV;0;71.71969604492188;02/10/2025 13:21;
1;donne moi les types et model d’appareils les plus utilisés par zone;0;50.166290044784546;02/10/2025 13:25;
1;Quel est le chiffre d’affaires data total pour les clients JEUNES en 2025;0;49.488256216049194;02/10/2025 13:27;
1;Quelle est le Top 5 des communes ayant généré le plus de ca Seddo;0;65.50276732444763;02/10/2025 13:29;
1;Quelle formule tarifaire génère le plus de trafic 4G sur le mois de juin;0;54.73112344741821;02/10/2025 13:31;
1;Quel est le montant total des paiements SENELEC;0;44.221200942993164;02/10/2025 13:33;
1;Donne-moi le nombre d’abonnés ayant souscrit à ILLIMIX JOUR 500F sur les 3 derniers mois;0;55.923344373703;02/10/2025 13:36;
1;Quels sont les flux voix sortants depuis la commune de KOUNGHEUL par opérateur;0;81.87701392173767;02/10/2025 13:40;
1;Quel est le revenu moyen par souscription pour le PASS 7 GO;0;50.51323580741882;02/10/2025 13:42;
1;Quel est le revenu moyen par souscription pour les offres PASS 7 GO et illimx jour 500f;0;47.204195976257324;02/10/2025 13:44;
1;Quel est le cadeau sargal le plus distribué en mai 2025;0;49.34138345718384;02/10/2025 13:47;
1;donne le parc des takers de l'illimix 1300 DATA sur le mois de juin;0;59.57624173164368;02/10/2025 13:50;
1;donne le parc des takers souscrit à l'offre illimix 1300 DATA sur le mois de juin;0;38.617687463760376;02/10/2025 13:52;
1;je veux le CA hors taxe;0;63.20981025695801;02/10/2025 13:56;
1;donne moi ca recharge de Janvier;0;50.125645875930786;02/10/2025 13:57;
1;donne moi ca recharge ou le ca total de Janvier;0;64.28808784484863;02/10/2025 13:59;
1;je veux le Nombre d’abonnés jeunes sur les offres illiflex par région;0;56.439109325408936;02/10/2025 14:02;
1;donne moi le nombre de clients qui sont des data user;0;67.63243341445923;02/10/2025 14:05;
1;donne le parc des takers des souscriptions de l'offre illimix 1300 DATA;0;51.00220513343811;02/10/2025 14:28;
1;donne le parc des takers des souscriptions de l'offre illimix 1300 DATA;0;68.6568853855133;02/10/2025 15:01;
1;quelle est le parc des takers des souscriptions illimix 1300 DATA;0;67.11598491668701;02/10/2025 15:05;
1;quelle est le parc des takers de l'illimix 1300 DATA;0;58.95474147796631;02/10/2025 15:08;
1;quel est la pénétration des échangeurs de points Sargal;0;61.35940861701965;02/10/2025 15:11;
1;quel est lévolution Year To Date de la pénétration des échangeurs Sargal au mois de décémbre 2024;0;75.90969800949097;02/10/2025 15:14;
1;Donne moi le Ca pass internationaux du mois de Mars;0;36.0094997882843;02/10/2025 15:16;
1;Quel est l'évolution Year To Date du ca pass internationaux au mois de MAI;0;74.24762415885925;02/10/2025 15:18;
1;Donne moi le Ca des offres de type Pass internet du mois de Janvier;0;68.83692479133606;02/10/2025 15:21;
1;Donne moi le Ca des souscriptions Pass internet du mois de Janvier;0;53.917850971221924;02/10/2025 15:24;
1;Donne moi le montant des souscriptions Pass internet du mois de Janvier;0;61.70435929298401;02/10/2025 15:26;
1;Donne moi le Ca des souscriptions des offres Pass internet du mois de Janvier;0;67.97324967384338;02/10/2025 15:38;
1;Donne moi le Ca des souscriptions des offres Pass internet du mois de Janvier;0;67.32636785507202;02/10/2025 15:43;
1;Quel est l'évolution Year To Date du ca des offres pass internet au mois de Mai;0;381.8639039993286;02/10/2025 15:52;
1;Donne mois le Ca des souscriptions des offres au mois de Mars;0;67.36027216911316;02/10/2025 15:58;
1;Quel est l'évolution Year To Date du ca des souscriptions des offres  au mois de Mars;0;267.80402636528015;02/10/2025 16:04;
1;donne moi le parc actif Orange du mois Janvier;0;44.75719928741455;02/10/2025 16:08;
1;quel est l'évolution du parc en Mars;0;58.4079794883728;02/10/2025 16:11;
1;quel est l'évolution du parc en Mars;0;43.43118691444397;02/10/2025 16:17;
1;je veux la segmentation des recharges des clients par départements en 2025;0;61.57666873931885;02/10/2025 16:19;
1;je veux la segmentation des recharges des clients par départements en 2025;0;53.83128261566162;02/10/2025 16:24;
1;je veux la segmentation des recharges des clients sur les offres par départements en 2025;0;56.96518421173096;02/10/2025 16:30;
1;Quelle est l'évolution du trafic data;0.011837749999999998;42.27487063407898;03/10/2025 10:10;
1;Quelle est l'évolution du trafic data;0.0111061;40.298911333084106;03/10/2025 10:16;
1;Quelle est l'évolution du trafic data;0.010374749999999999;37.11722755432129;03/10/2025 10:22;
1;donne moi le ca des souscritions years to date de 2025;0.012883799999999999;47.066543102264404;03/10/2025 10:51;
1;quelle est l'évolution du trafic data;0.01766105;34.336870193481445;04/10/2025 19:21;
1;donne moi le CA de janvier 2025;0.0156981;39.90127635002136;04/10/2025 19:43;
1;Combien de bénéficiaires ont reçu le cadeau Sargal 10mns d'appel en janvier 2025;0.014611800000000001;44.43524169921875;06/10/2025 11:24;
1;Donne moi le top 5 des types et marques d’appareils les plus utilisés par les clients par zone;0.022009800000000003;39.112744092941284;06/10/2025 11:58;
1;quelles sont les offres les plus souscrites entre 20h et 00h via Orange Money;0.01762055;46.89683294296265;06/10/2025 12:01;
1;quelles sont les offres les plus souscrites entre 20h et 00h via Orange Money;0.0170691;44.487698554992676;06/10/2025 12:38;
